Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
1,Carlos Rodon*,,99,12,2021,Apr 14,CHW,,CLE,"W,8-0",SHO,W,8,9,0,0,0,0,7,0,1,0,28,114,75,21,19,10,10,3,2,0,94,0,0,0,27,0,0,0,0,0,0,0.16,0.116,0.17,0.07%,4.82
2,Joe Musgrove,,110,8,2021,Apr 9,SDP,@,TEX,"W,3-0",SHO,W,5,9,0,0,0,0,10,0,1,0,28,112,77,24,15,10,7,3,1,0,97,0,0,0,27,0,0,0,0,0,0,0.75,0.545,0.71,0.31%,5.52
3,Alec Mills,,28,48,2020,Sep 13,CHC,@,MIL,"W,12-0",SHO,W,4,9,0,0,0,3,5,0,0,3.93,29,114,74,26,5,10,11,5,4,0,89,0,0,0,26,0,0,0,1,0,0,0.31,0.199,0.16,0.06%,4.81
4,Lucas Giolito,,81,30,2020,Aug 25,CHW,,PIT,"W,4-0",SHO,W,4,9,0,0,0,1,13,0,0,3.09,28,101,74,18,28,6,8,2,3,0,99,0,0,0,27,0,0,0,0,0,0,0.52,0.329,0.56,0.21%,4.82
5,Justin Verlander,,448,138,2019,Sep 1,HOU,@,TOR,"W,2-0",SHO,W,4,9,0,0,0,1,14,0,0,2.56,28,120,79,19,22,6,7,1,4,0,100,0,0,0,27,0,0,0,0,0,0,0.99,0.666,0.24,0.10%,4.82
6,Mike Fiers,,181,37,2019,May 7,OAK,,CIN,"W,2-0",SHO,W,5,9,0,0,0,2,6,0,0,5.48,29,131,83,24,10,10,11,0,4,0,91,0,0,0,27,0,0,0,1,0,1,0.98,0.626,0.63,0.24%,4.72
7,James Paxton*,,82,34,2018,May 8,SEA,@,TOR,"W,5-0",SHO,W,5,9,0,0,0,3,7,0,0,3.4,29,99,64,14,13,10,9,3,3,0,91,0,0,0,26,0,0,0,1,0,0,0.63,0.287,0.72,0.20%,4.51
8,Sean Manaea*,,59,21,2018,Apr 21,OAK,,BOS,"W,3-0",SHO,W,5,9,0,0,0,2,10,0,0,1.23,30,108,75,19,14,9,9,2,5,0,95,0,0,0,28,0,0,0,0,0,1,0.73,0.44,0.57,0.21%,4.46
9,Edinson Volquez,,270,54,2017,Jun 3,MIA,,ARI,"W,3-0",SHO,W,4,9,0,0,0,2,10,0,0,3.79,27,98,65,25,13,11,4,1,1,0,95,0,0,0,25,0,0,0,2,0,0,1.04,0.593,0.43,0.15%,4.19
10,Jake Arrieta,,140,16,2016,Apr 21,CHC,@,CIN,"W,16-0",SHO,W,4,9,0,0,0,4,6,0,0,0.87,29,119,71,23,11,11,8,5,2,0,89,0,0,0,25,0,0,0,1,0,0,0.32,0.185,0.43,0.15%,4.5
11,Max Scherzer,,240,161,2015,Oct 3(2),WSN,@,NYM,"W,2-0",SHO,W,4,9,0,0,0,0,17,0,0,2.79,28,109,80,20,22,6,5,2,2,0,104,0,0,0,28,0,0,0,0,0,1,1.01,0.587,0,0.00%,4.05
12,Jake Arrieta,,130,129,2015,Aug 30,CHC,@,LAD,"W,2-0",SHO,W,4,9,0,0,0,1,12,0,0,2.11,29,116,80,18,19,8,8,4,1,0,98,0,0,0,27,0,0,0,0,0,1,0.92,0.565,0.63,0.23%,3.97
13,Mike Fiers,,75,123,2015,Aug 21,HOU,,LAD,"W,3-0",SHO,W,4,9,0,0,0,3,10,0,0,3.62,30,134,88,23,13,8,9,1,5,0,94,0,0,0,27,0,0,0,0,0,0,0.79,0.437,1.5,0.50%,4.25
14,Hisashi Iwakuma,,102,115,2015,Aug 12,SEA,,BAL,"W,3-0",SHO,W,4,9,0,0,0,3,7,0,0,3.86,29,116,77,14,19,11,8,3,1,0,91,0,0,0,26,0,0,0,1,0,0,0.81,0.401,0.25,0.07%,4.16
