"mod.1.AIC","mod.5.AIC","mod.8.AIC","mod.simp.AIC","mod.simp.1.AIC","mod.1.BIC","mod.5.BIC","mod.8.BIC","mod.simp.BIC","mod.simp.1.BIC","mod.1.AME","mod.5.AME","mod.8.AME","mod.simp.AME","mod.simp.1.AME","pyth.AME","Sim.Run"
-396.078384082734,-376.18406014414,-345.56733377243,-282.172109213984,-276.979990629461,-351.546081067514,-348.058395081896,-338.535917506869,-272.79688752657,-267.604768942047,0.0154425013180844,0.0206121761504901,0.0219382897911224,0.0259577857899556,0.0305896317917323,0.0216148865557712,1
-391.812229267965,-376.543071018964,-346.906240688178,-292.621183312871,-286.723024079413,-347.279926252745,-348.41740595672,-339.874824422617,-283.245961625456,-277.347802391998,0.0163645999997124,0.0225456523175264,0.0243639157136859,0.0321507153379922,0.0393356801767202,0.0227069157846081,2
-388.984035215161,-361.242712943342,-353.764189010308,-288.817675734461,-267.238442108446,-344.451732199941,-333.117047881098,-346.732772744747,-279.442454047047,-257.863220421031,0.0133254474851272,0.0151940158863824,0.0274092621052837,0.0319746013305726,0.02435482465522,0.0282714953754468,3
-385.018012986951,-358.397167576814,-346.548192146475,-285.927826078233,-279.725568088894,-340.485709971731,-330.27150251457,-339.516775880914,-276.552604390819,-270.350346401479,0.0128133098243158,0.0161369422123571,0.0238880593645952,0.0287378698159537,0.0343971901410185,0.0234002449769256,4
-386.839861073353,-365.944989142704,-344.09725740703,-292.094751719193,-276.385455884916,-342.307558058133,-337.81932408046,-337.065841141468,-282.719530031778,-267.010234197501,0.0139655347138437,0.0189861914965707,0.0209858404760659,0.0352041791986051,0.0310880965343472,0.0191387128636011,5
-382.799474541115,-359.550835073199,-337.821299486837,-285.326420483203,-278.689266261903,-338.267171525895,-331.425170010955,-330.789883221276,-275.951198795788,-269.314044574489,0.0116299251310689,0.0152878624793209,0.0194133277585438,0.0289570838225739,0.0334935574745637,0.0158548703614209,6
-396.934905079523,-366.685197952855,-335.928209814556,-286.796696208819,-270.981750638595,-352.402602064303,-338.559532890611,-328.896793548995,-277.421474521404,-261.60652895118,0.017603373306803,0.0200416080975429,0.0172606924155305,0.0309761907653632,0.029001206361352,0.0181200836117334,7
-399.916843559703,-373.53476851352,-339.525435756735,-285.96574912969,-273.753791428796,-355.384540544483,-345.409103451275,-332.494019491174,-276.590527442275,-264.378569741381,0.0162276628142191,0.0218770488542915,0.0200297879765087,0.0273146215336405,0.0327634702344568,0.0252393708648887,8
-384.908578876296,-353.298955095803,-338.10084655006,-285.637759024925,-284.039479260138,-340.376275861076,-325.173290033559,-331.069430284499,-276.26253733751,-274.664257572724,0.0125630840413664,0.0132945356845438,0.0180017693237111,0.0281155084015444,0.0404004089369282,0.0184586382424882,9
-395.194754256642,-360.240858212507,-339.728496055623,-280.21007220903,-267.962874169881,-350.662451241422,-332.115193150263,-332.697079790062,-270.834850521616,-258.587652482466,0.0150500707765784,0.0160278857185911,0.0220734739518984,0.0245641025744795,0.0268098788113112,0.0227176214372924,10
-399.686487045207,-371.824784723121,-342.925855490928,-285.453124066293,-269.629941878609,-355.154184029987,-343.699119660877,-335.894439225367,-276.077902378878,-260.254720191194,0.0164216390386497,0.0179801910460758,0.02337074774538,0.0281899430889291,0.0276947048442611,0.0273748983652577,11
-398.135237753945,-356.305903382283,-345.940064610245,-289.152348674644,-275.649172999688,-353.602934738725,-328.180238320039,-338.908648344684,-279.777126987229,-266.273951312273,0.0182494154148507,0.0166675878360132,0.0236792053402829,0.0312320667534303,0.0313838139477315,0.0240247942424874,12
-394.962694677183,-362.249923556083,-333.734718311497,-290.612051866758,-268.284309629598,-350.430391661963,-334.124258493838,-326.703302045936,-281.236830179343,-258.909087942184,0.0166964875842701,0.0176546697114149,0.0152529996710317,0.0272067533433418,0.0272806717230049,0.0200463384573796,13
-390.355867618623,-366.191863390594,-342.056614780639,-283.392906963299,-268.660778576584,-345.823564603403,-338.06619832835,-335.025198515078,-274.017685275884,-259.285556889169,0.0134187870812486,0.0176629703502918,0.0218369521691599,0.0277605736547947,0.0288543029777453,0.021228050223121,14
-399.287041749913,-352.817631534252,-342.57476535926,-298.793874593546,-271.536640642142,-354.754738734693,-324.691966472008,-335.543349093699,-289.418652906132,-262.161418954727,0.0197833549588107,0.0129321625678457,0.0210360151818955,0.0365995316039579,0.0309477951888058,0.0198086342846801,15
-397.551237563423,-361.860181113796,-346.728802471949,-299.147308908841,-280.056899223506,-353.018934548203,-333.734516051552,-339.697386206388,-289.772087221427,-270.681677536091,0.0174399948312902,0.0205356508331099,0.0242814199178132,0.0383005742545434,0.0339911221635888,0.0225831970847058,16
-392.770226737185,-360.254230676199,-340.978523836282,-295.817950960883,-276.992394828611,-348.237923721965,-332.128565613955,-333.947107570721,-286.442729273468,-267.617173141196,0.0155270516717459,0.0179448244955545,0.0199480610908056,0.0362689521164397,0.0334483667294022,0.0199734667879315,17
